ts,yhat,yhat_snaive,lo,hi,model_name,model_version,order,seasonal_order,k_exog,feature_list,target,train_window_days,last_refit,spec_sha256
2026-05-26 21:00:00+02:00,53547.68304859664,54268.18,52275.30092322937,54820.065173963914,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-26 22:00:00+02:00,50854.19586926389,51517.34,49124.91062739888,52583.481111128895,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-26 23:00:00+02:00,47181.5733048423,47791.93,45143.867279530794,49219.279330153804,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-27 00:00:00+02:00,44916.94876799,45478.72,42650.57270215882,47183.32483382118,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-27 01:00:00+02:00,43621.65674308029,44138.71,41178.253155036524,46065.060331124056,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-27 02:00:00+02:00,43077.125088943896,43553.02,40493.22741781473,45661.022760073065,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-27 03:00:00+02:00,42817.7471583088,43255.76,40120.55188984942,45514.942426768175,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-27 04:00:00+02:00,43834.903748528974,44238.05,41045.32820393856,46624.47929311939,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-27 05:00:00+02:00,47445.75489703176,47816.81,44580.250145256556,50311.25964880696,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-27 06:00:00+02:00,54206.26153384439,54547.78,51277.97461085626,57134.54845683251,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-27 07:00:00+02:00,59068.267002576526,59382.6,56087.82975036913,62048.70425478392,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
