ts,yhat,yhat_snaive,lo,hi,order,seasonal_order,k_exog,train_window_days,last_refit,spec_sha256
2025-12-11 18:00:00+01:00,70041.00383168405,72940.47,68768.62170631677,71313.38595705133,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-11 19:00:00+01:00,68514.63642267113,71183.3,66785.35118080612,70243.92166453614,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-11 20:00:00+01:00,64994.256722721184,67450.49,62956.55069740968,67031.96274803269,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-11 21:00:00+01:00,61852.97719840719,64113.69,59586.60113257601,64119.35326423837,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-11 22:00:00+01:00,58550.24390139859,60631.0,56106.84031335483,60993.64748944236,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-11 23:00:00+01:00,55014.14573529176,56929.27,52430.24806416259,57598.043406420926,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 00:00:00+01:00,52279.092984784445,54041.77,49581.89771632507,54976.28825324382,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 01:00:00+01:00,50540.265165913086,52162.63,47750.68962132267,53329.8407105035,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 02:00:00+01:00,49759.48825139736,51252.71,46893.983499622154,52624.99300317256,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 03:00:00+01:00,49880.34132083469,51254.7,46952.054397846565,52808.628243822815,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 04:00:00+01:00,51235.932681527636,52500.89,48255.49542932024,54216.36993373503,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 05:00:00+01:00,54627.425502082624,55791.69,51603.513569671486,57651.33743449376,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 06:00:00+01:00,61969.022997564374,63040.61,58908.76540214771,65029.28059298104,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 07:00:00+01:00,67720.97320190298,68707.26,64630.26038031155,70811.6860234944,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 08:00:00+01:00,70544.46336040893,71452.24,67428.18377153653,73660.74294928134,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 09:00:00+01:00,70866.46397263634,71701.98,67728.68891471333,74004.23903055934,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 10:00:00+01:00,71255.36251342706,72024.37,68099.4924835312,74411.23254332291,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 11:00:00+01:00,71334.07685775327,72041.87,68162.9587637485,74505.19495175805,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 12:00:00+01:00,70864.36843293652,71515.82,67680.39033311128,74048.34653276176,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 13:00:00+01:00,69425.90511994458,70025.5,66231.07338533286,72620.73685455631,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 14:00:00+01:00,68260.78392374012,68812.65,65056.786483436576,71464.78136404367,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 15:00:00+01:00,68203.70343106479,68711.64,64991.96188451893,71415.44497761063,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 16:00:00+01:00,69559.94607257942,70027.45,66341.6588178999,72778.23332725895,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-12 17:00:00+01:00,70256.840204934,70687.13,67033.01826360295,73480.66214626504,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
