ts,yhat,yhat_snaive,lo,hi,order,seasonal_order,k_exog,train_window_days,last_refit,spec_sha256
2026-01-30 19:00:00+01:00,71878.24748955594,71967.25,70605.86536418866,73150.62961492322,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-30 20:00:00+01:00,68457.23224544628,68539.15,66727.94700358127,70186.5174873113,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-30 21:00:00+01:00,64649.8530423452,64725.25,62612.1470170337,66687.55906765671,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-30 22:00:00+01:00,61508.324772377244,61577.72,59241.94870654606,63774.700838208424,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-30 23:00:00+01:00,58303.948754175166,58367.82,55860.5451661314,60747.35234221893,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 00:00:00+01:00,55094.7230173361,55153.51,52510.82534620693,57678.62068846527,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 01:00:00+01:00,53308.31256423456,53362.42,50611.117295775184,56005.50783269394,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 02:00:00+01:00,51737.879610994685,51787.68,48948.30406640427,54527.4551555851,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 03:00:00+01:00,51172.54380928062,51218.38,48307.03905750542,54038.048561055824,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 04:00:00+01:00,50991.6424504321,51033.83,48063.35552744397,53919.92937342022,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 05:00:00+01:00,51484.4506533503,51523.28,48504.0134011429,54464.8879055577,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 06:00:00+01:00,52942.06153742787,52977.8,49918.14960501673,55965.97346983901,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 07:00:00+01:00,55542.04638171323,55574.94,52481.788786296565,58602.3039771299,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 08:00:00+01:00,58951.96477140526,58982.24,55861.251949813835,62042.67759299669,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 09:00:00+01:00,61817.29473268668,61845.16,58701.015143814264,64933.57432155909,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 10:00:00+01:00,63189.4028568244,63215.05,60051.6277989014,66327.17791474742,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 11:00:00+01:00,63902.08441439146,63925.69,60746.21438449559,67057.95444428732,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 12:00:00+01:00,62767.75346039646,62789.48,59596.63536639168,65938.87155440124,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 13:00:00+01:00,61116.05293104471,61136.05,57932.07483121948,64300.03103086994,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 14:00:00+01:00,59924.62473279685,59943.03,56729.792998185134,63119.45646740857,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 15:00:00+01:00,59486.799824338435,59503.74,56282.80238403489,62690.79726464198,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 16:00:00+01:00,61014.39829202438,61029.99,57802.656745478525,64226.139838570234,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 17:00:00+01:00,63646.43941931809,63660.79,60428.152164638566,66864.72667399762,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-31 18:00:00+01:00,64665.151750703,64678.36,61441.329809371964,67888.97369203404,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
