ts,yhat,yhat_snaive,lo,hi,model_name,model_version,order,seasonal_order,k_exog,feature_list,target,train_window_days,last_refit,spec_sha256
2026-05-18 20:00:00+02:00,54054.017915932694,56548.38,52781.63579056542,55326.40004129997,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-18 21:00:00+02:00,51763.233511494975,54059.04,50033.94826962997,53492.51875335998,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-18 22:00:00+02:00,48965.55373349866,51078.61,46927.84770818715,51003.25975881016,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-18 23:00:00+02:00,45847.4367173925,47792.29,43581.06065156132,48113.81278322368,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-19 00:00:00+02:00,42551.770448837495,44341.81,40108.36686079373,44995.17403688126,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-19 01:00:00+02:00,41796.2807358056,43443.83,39212.38306467643,44380.17840693477,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-19 02:00:00+02:00,41002.00854608537,42518.41,38304.813277625995,43699.20381454475,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-19 03:00:00+02:00,41336.22676070935,42731.92,38546.65121611894,44125.80230529977,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-19 04:00:00+02:00,42986.44638979677,44271.04,40120.94163802157,45851.951141571975,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-19 05:00:00+02:00,46017.67229360425,47200.01,43089.385370616124,48945.959216592375,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-19 06:00:00+02:00,52840.27844817085,53928.5,49859.841195963454,55820.71570037825,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-19 07:00:00+02:00,57217.14279180857,58218.74,54193.23085939743,60241.054724219706,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-19 08:00:00+02:00,59342.38168580366,60264.25,56282.12409038699,62402.63928122033,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
