ts,yhat,lo,hi,order,seasonal_order,k_exog,train_window_days,last_refit,spec_sha256
2025-10-02 12:00:00+02:00,63402.04657834982,62129.66445298255,64674.428703717094,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 13:00:00+02:00,63055.74124481745,61326.456002952444,64785.02648668246,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 14:00:00+02:00,62153.044843767355,60115.33881845585,64190.75086907886,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 15:00:00+02:00,61070.55193379113,58804.17586795995,63336.92799962231,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 16:00:00+02:00,60382.75004425889,57939.34645621513,62826.15363230266,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 17:00:00+02:00,60126.778195032995,57542.88052390383,62710.675866162164,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 18:00:00+02:00,59696.93473799754,56999.73946953816,62394.130006456915,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 19:00:00+02:00,60140.43457438848,57350.85902979806,62930.01011897889,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 20:00:00+02:00,57780.16579761148,54914.66104583628,60645.67054938668,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 21:00:00+02:00,54155.695807279946,51227.40888429182,57083.98273026807,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 22:00:00+02:00,50991.27693656477,48010.83968435737,53971.71418877217,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 23:00:00+02:00,47218.35163159732,44194.43969918618,50242.263564008455,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 00:00:00+02:00,44254.80721858272,41194.54962316605,47315.06481399939,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 01:00:00+02:00,42522.23029144269,39431.517469851264,45612.94311303412,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 02:00:00+02:00,41793.660750194234,38677.38116132182,44909.94033906665,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 03:00:00+02:00,41904.59551786631,38766.82045994331,45042.37057578932,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 04:00:00+02:00,42967.241961543485,39811.37193164762,46123.11199143935,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 05:00:00+02:00,46895.7710410884,43724.652947083625,50066.88913509318,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 06:00:00+02:00,54619.820207220546,51435.842107395314,57803.79830704578,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 07:00:00+02:00,59340.74606890274,56145.914334291025,62535.57780351446,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 08:00:00+02:00,62266.626848399115,59062.62940809557,65470.62428870266,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 09:00:00+02:00,63888.264640906025,60676.52309436017,67100.00618745187,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 10:00:00+02:00,65564.68749431253,62346.400239633,68782.97474899206,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 11:00:00+02:00,66187.90132340815,62964.079382077114,69411.7232647392,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
