ts,yhat,yhat_snaive,lo,hi,order,seasonal_order,k_exog,train_window_days,last_refit,spec_sha256
2025-11-05 18:00:00+01:00,66187.8013642226,64751.75,64915.41923885533,67460.18348958988,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-05 19:00:00+01:00,64753.48915762575,63431.75,63024.20391576074,66482.77439949077,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-05 20:00:00+01:00,61274.52640311161,60058.0,59236.820377800104,63312.232428423114,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-05 21:00:00+01:00,57768.9387683392,56649.25,55502.56270250802,60035.31483417038,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-05 22:00:00+01:00,53897.309579091954,52866.75,51453.90599104819,56340.71316713572,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-05 23:00:00+01:00,49302.27522958991,48353.75,46718.37755846074,51886.17290071908,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 00:00:00+01:00,46749.52095814911,45876.5,44052.32568968973,49446.716226608485,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 01:00:00+01:00,44751.776959105875,43948.25,41962.20141451546,47541.35250369629,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 02:00:00+01:00,43856.81480423882,43117.25,40991.31005246362,46722.31955601402,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 03:00:00+01:00,44775.694149051866,44095.0,41847.40722606374,47703.98107203999,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 04:00:00+01:00,45975.509701242925,45349.0,42995.07244903553,48955.94695345032,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 05:00:00+01:00,49611.3884304878,49034.75,46587.47649807666,52635.30036289894,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 06:00:00+01:00,57073.98700033019,56543.25,54013.72940491352,60134.24459574686,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 07:00:00+01:00,62273.489404497726,61785.0,59182.7765829063,65364.20222608915,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 08:00:00+01:00,66270.60479137141,65821.0,63154.325202499,69386.88438024382,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 09:00:00+01:00,67931.06546163111,67517.25,64793.2904037081,71068.84051955411,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 10:00:00+01:00,68378.87502529194,67998.0,65223.00499539608,71534.7450551878,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 11:00:00+01:00,68990.30670544387,68639.75,65819.1886114391,72161.42479944865,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 12:00:00+01:00,67473.90177701654,67151.25,64289.923677191306,70657.87987684178,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 13:00:00+01:00,65732.71812982115,65435.75,62537.886395209425,68927.54986443288,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 14:00:00+01:00,64314.07894597679,64040.75,61110.081505673246,67518.07638628033,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 15:00:00+01:00,63320.571482615924,63069.0,60108.82993607007,66532.31302916177,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 16:00:00+01:00,63058.54595148861,62827.0,59840.25869680908,66276.83320616813,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-06 17:00:00+01:00,65617.61448775225,65404.5,62393.79254642121,68841.43642908329,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
