ts,yhat,yhat_snaive,lo,hi,model_name,model_version,order,seasonal_order,k_exog,feature_list,target,train_window_days,last_refit,spec_sha256
2026-05-29 21:00:00+02:00,51060.92274943608,51783.96,49788.54062406881,52333.304874803354,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-29 22:00:00+02:00,49255.52778237074,49921.01,47526.24254050573,50984.813024235744,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-29 23:00:00+02:00,46227.34133376549,46839.85,44189.63530845399,48265.047359077,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-30 00:00:00+02:00,43433.948097584216,43997.7,41167.572031753036,45700.3241634154,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-30 01:00:00+02:00,41658.54373751177,42177.42,39215.140149468,44101.947325555535,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-30 02:00:00+02:00,40449.13719781513,40926.71,37865.23952668596,43033.0348689443,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-30 03:00:00+02:00,40005.762830255924,40445.32,37308.567561796546,42702.9580987153,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-30 04:00:00+02:00,40716.16235169698,41120.73,37926.58680710656,43505.73789628739,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-30 05:00:00+02:00,41227.65664587989,41600.02,38362.15189410469,44093.161397655094,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-30 06:00:00+02:00,42788.237421778125,43130.96,39859.95049879,45716.52434476625,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
