ts,yhat,yhat_snaive,lo,hi,model_name,model_version,order,seasonal_order,k_exog,feature_list,target,train_window_days,last_refit,spec_sha256
2026-08-19 19:00:00+02:00,52410.56682250516,53352.53,51138.18469713789,53682.948947872435,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-19 20:00:00+02:00,50563.058743093155,51430.04,48833.77350122815,52292.34398495816,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-19 21:00:00+02:00,48908.21197132734,49706.18,46870.50594601584,50945.91799663885,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-19 22:00:00+02:00,46478.491625584764,47212.94,44212.11555975358,48744.867691415944,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-19 23:00:00+02:00,44270.55500398649,44946.54,41827.151415942724,46713.958592030256,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-20 00:00:00+02:00,43165.35459495645,43787.53,40581.45692382728,45749.25226608562,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-20 01:00:00+02:00,42229.48084813425,42802.13,39532.28557967487,44926.676116593626,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-20 02:00:00+02:00,40759.32472471866,41286.39,37969.749180128245,43548.90026930907,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-20 03:00:00+02:00,40972.950044799145,41458.06,38107.44529302394,43838.45479657435,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-20 04:00:00+02:00,41569.44564783583,42015.94,38641.15872484771,44497.73257082396,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
