ts,yhat,yhat_snaive,lo,hi,order,seasonal_order,k_exog,train_window_days,last_refit,spec_sha256
2026-01-05 12:00:00+01:00,67966.44520047211,58381.74,66694.06307510483,69238.82732583939,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-05 13:00:00+01:00,66587.47586047709,57765.73,64858.19061861208,68316.7611023421,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-05 14:00:00+01:00,64974.799421735705,56855.28,62937.0933964242,67012.50544704721,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-05 15:00:00+01:00,64446.28143881776,56973.09,62179.90537298658,66712.65750464895,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-05 16:00:00+01:00,65809.72229662609,58931.41,63366.31870858232,68253.12588466985,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-05 17:00:00+01:00,67224.14657722734,60893.36,64640.24890609817,69808.04424835651,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-05 18:00:00+01:00,66735.47486513661,60908.63,64038.27959667723,69432.67013359598,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-05 19:00:00+01:00,64575.527796951035,59212.51,61785.95225236062,67365.10334154146,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-05 20:00:00+01:00,60924.342176677834,55988.23,58058.83742490263,63789.84692845304,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-05 21:00:00+01:00,58137.998992324276,53594.81,55209.71206933615,61066.2859153124,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-05 22:00:00+01:00,56040.19318240561,51858.65,53059.75593019821,59020.630434613005,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-05 23:00:00+01:00,52784.67501307435,48935.99,49760.763080663215,55808.58694548549,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-06 00:00:00+01:00,49098.90293766287,45556.58,46038.6453422462,52159.160533079536,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-06 01:00:00+01:00,46246.98782063627,42986.64,43156.27499904484,49337.7006422277,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-06 02:00:00+01:00,45172.538417346506,42171.72,42056.25882847409,48288.81800621892,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-06 03:00:00+01:00,44619.078009623285,41857.13,41481.30295170028,47756.85306754629,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-06 04:00:00+01:00,44751.69210519557,42209.6,41595.82207529971,47907.56213509144,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-06 05:00:00+01:00,46746.70711626059,44406.97,43575.58902225581,49917.82521026538,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-06 06:00:00+01:00,49728.73993925862,47575.25,46544.76183943339,52912.718039083855,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-06 07:00:00+01:00,52881.16836411599,50899.1,49686.336629504265,56076.000098727716,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-06 08:00:00+01:00,55410.382246929155,53586.09,52206.38480662561,58614.3796872327,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-06 09:00:00+01:00,57076.10538531858,55397.03,53864.363838772726,60287.846931864435,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-06 10:00:00+01:00,57997.94804051871,56452.53,54779.66078583919,61216.23529519824,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-01-06 11:00:00+01:00,58236.12005472271,56813.72,55012.29811339168,61459.94199605375,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
