ts,yhat,yhat_snaive,lo,hi,order,seasonal_order,k_exog,train_window_days,last_refit,spec_sha256
2025-11-24 18:00:00+01:00,70741.51363448308,68989.6,69469.1315091158,72013.89575985036,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 19:00:00+01:00,68737.28823733349,67124.83,67008.00299546847,70466.5734791985,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 20:00:00+01:00,65747.89373432125,64263.79,63710.18770900974,67785.59975963275,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 21:00:00+01:00,62738.19647480844,61372.23,60471.82040897726,65004.57254063962,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 22:00:00+01:00,58699.87314829738,57442.64,56256.469560253616,61143.27673634115,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 23:00:00+01:00,54574.045185232055,53416.89,51990.147514102886,57157.942856361224,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 00:00:00+01:00,51617.82360350568,50552.78,48920.628335046305,54315.01887196506,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 01:00:00+01:00,50794.65426519525,49814.39,48005.07872060483,53584.22980978566,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 02:00:00+01:00,50184.71351086832,49282.48,47319.20875909312,53050.218262643524,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 03:00:00+01:00,50045.44414140669,49215.03,47117.157218418564,52973.731064394815,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 04:00:00+01:00,51477.89171968391,50713.58,48497.45446747651,54458.32897189131,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 05:00:00+01:00,55671.71116663572,54968.24,52647.799234224585,58695.62309904686,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 06:00:00+01:00,62864.75362828937,62217.28,59804.4960328727,65925.01122370604,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 07:00:00+01:00,68748.44359218272,68152.51,65657.7307705913,71839.15641377415,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 08:00:00+01:00,71883.34623332164,71334.85,68767.06664444924,74999.62582219405,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 09:00:00+01:00,71225.63497140362,70720.8,68087.85991348061,74363.41002932662,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 10:00:00+01:00,72020.1492224909,71555.5,68864.27919259504,75176.01925238676,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 11:00:00+01:00,72588.38232965424,72160.72,69417.26423564946,75759.50042365902,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 12:00:00+01:00,70427.30965834104,70033.69,67243.3315585158,73611.28775816628,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 13:00:00+01:00,69386.29684335552,69024.01,66191.4651087438,72581.12857796725,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 14:00:00+01:00,67798.49817538254,67465.05,64594.500735079,71002.49561568609,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 15:00:00+01:00,66914.18511594656,66607.28,63702.443569400704,70125.9266624924,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 16:00:00+01:00,68037.5749305829,67755.1,64819.28767590337,71255.86218526242,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-25 17:00:00+01:00,70129.3494308106,69869.36,66905.52748947956,73353.17137214165,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
