ts,yhat,yhat_snaive,lo,hi,order,seasonal_order,k_exog,train_window_days,last_refit,spec_sha256
2026-03-31 20:00:00+02:00,62490.437549793,64280.29,61218.05542442573,63762.81967516027,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-03-31 21:00:00+02:00,60119.39294319698,61766.77,58390.107701331974,61848.67818506199,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-03-31 22:00:00+02:00,57500.107045466444,59016.35,55462.40102015494,59537.81307077795,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-03-31 23:00:00+02:00,54080.43264326178,55475.98,51814.0565774306,56346.80870909296,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 00:00:00+02:00,51066.71065984223,52351.17,48623.30707179847,53510.114247886,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 01:00:00+02:00,48802.02587551866,49984.24,46218.12820438949,51385.92354664783,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 02:00:00+02:00,47354.22219274818,48442.33,44657.0269242888,50051.41746120756,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 03:00:00+02:00,46866.187482118105,47867.68,44076.61193752769,49655.76302670852,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 04:00:00+02:00,47559.86804258098,48481.64,44694.36329080578,50425.37279435618,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 05:00:00+02:00,48962.87270664719,49811.27,46034.585783659066,51891.15962963532,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 06:00:00+02:00,53124.706618796954,53905.57,50144.26936658956,56105.14387100435,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 07:00:00+02:00,60208.26471312412,60926.97,57184.35278071298,63232.176645535255,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 08:00:00+02:00,65274.70491415343,65936.2,62214.44731873676,68334.9625095701,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 09:00:00+02:00,67834.20108286716,68443.04,64743.488261275736,70924.91390445859,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 10:00:00+02:00,68120.36572822278,68680.74,65004.086139350366,71236.64531709519,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 11:00:00+02:00,69093.24250282907,69609.01,65955.46744490607,72231.01756075208,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 12:00:00+02:00,68609.4684999622,69084.18,65453.59847006633,71765.33852985805,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 13:00:00+02:00,67985.59636773502,68422.52,64814.478273730245,71156.7144617398,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 14:00:00+02:00,66443.72625497503,66845.87,63259.7481551498,69627.70435480027,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 15:00:00+02:00,65818.2276022069,66188.36,62623.39586759517,69013.05933681862,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 16:00:00+02:00,64185.36079006969,64526.03,60981.36334976614,67389.35823037323,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 17:00:00+02:00,62018.02865651719,62331.58,58806.28710997134,65229.770203063046,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 18:00:00+02:00,62959.83789324639,63248.43,59741.55063856686,66178.12514792591,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-04-01 19:00:00+02:00,63459.040330967866,63724.66,60235.21838963683,66682.86227229891,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
