ts,yhat,lo,hi,order,seasonal_order,k_exog,train_window_days,last_refit,spec_sha256
2025-10-02 12:00:00+02:00,63402.9669765964,62130.58485122913,64675.34910196367,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 13:00:00+02:00,63056.58837774975,61327.303135884744,64785.87361961476,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 14:00:00+02:00,62153.824543432864,60116.11851812136,64191.53056874437,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 15:00:00+02:00,61071.269567996125,58804.893502164945,63337.645633827306,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 16:00:00+02:00,60383.41055352285,57940.006965479086,62826.81414156662,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 17:00:00+02:00,60127.386126601385,57543.488455472216,62711.28379773055,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 18:00:00+02:00,59697.49427714713,57000.299008687754,62394.68954560651,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 19:00:00+02:00,60140.94957324065,57351.374028650236,62930.525117831065,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 20:00:00+02:00,57780.63980165201,54915.13504987681,60646.14455342721,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 21:00:00+02:00,54156.13207976772,51227.84515677959,57084.41900275584,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 22:00:00+02:00,50991.67848099755,48011.24122879015,53972.11573320495,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-02 23:00:00+02:00,47218.721212389166,44194.80927997803,50242.633144800304,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 00:00:00+02:00,44255.14738009551,41194.88978467884,47315.404975512174,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 01:00:00+02:00,42522.54337550262,39431.83055391119,45613.256197094044,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 02:00:00+02:00,41793.94891221402,38677.66932334161,44910.228501086436,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 03:00:00+02:00,41904.86074168405,38767.08568376105,45042.63579960706,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 04:00:00+02:00,42967.48607308028,39811.61604318442,46123.35610297615,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 05:00:00+02:00,46895.99572091884,43724.877626914065,50067.11381492362,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 06:00:00+02:00,54620.027002142524,51436.04890231729,57804.005101967756,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 07:00:00+02:00,59340.93640258633,56146.10466797461,62535.76813719806,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 08:00:00+02:00,62266.802031187755,59062.80459088421,65470.7994714913,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 09:00:00+02:00,63888.42587883752,60676.68433229167,67100.16742538338,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 10:00:00+02:00,65564.83589742196,62346.54864274243,68783.12315210149,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-10-03 11:00:00+02:00,66188.03791336986,62964.21597203882,69411.8598547009,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
