ts,yhat,yhat_snaive,lo,hi,order,seasonal_order,k_exog,train_window_days,last_refit,spec_sha256
2025-12-21 18:00:00+01:00,54729.4090409081,59040.49,53457.02691554083,56001.791166275376,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-21 19:00:00+01:00,54275.88864439804,58243.8,52546.60340253303,56005.173886263045,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-21 20:00:00+01:00,52585.66134572888,56237.72,50547.95532041737,54623.36737104038,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-21 21:00:00+01:00,50588.14161821055,53949.49,48321.76555237937,52854.51768404173,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-21 22:00:00+01:00,48822.140843264766,51915.92,46378.737255221,51265.54443130853,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-21 23:00:00+01:00,45987.161088842775,48834.67,43403.263417713606,48571.058759971944,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 00:00:00+01:00,43452.627791057,46073.47,40755.43252259762,46149.82305951638,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 01:00:00+01:00,42497.04142633248,44909.26,39707.465881742064,45286.61697092289,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 02:00:00+01:00,41678.11825443465,43898.32,38812.61350265945,44543.623006209855,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 03:00:00+01:00,42080.50020633328,44123.97,39152.213283345154,45008.787129321405,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 04:00:00+01:00,44505.523984975,46386.33,41525.0867327676,47485.9612371824,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 05:00:00+01:00,49608.86944161851,51339.96,46584.95750920737,52632.78137402965,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 06:00:00+01:00,57781.15728539876,59374.45,54720.89968998209,60841.41488081543,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 07:00:00+01:00,64275.05617919627,65741.52,61184.34335760484,67365.7690007877,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 08:00:00+01:00,68415.01927066286,69764.75,65298.739681790445,71531.29885953527,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 09:00:00+01:00,69213.94020336628,70456.23,66076.16514544327,72351.71526128928,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 10:00:00+01:00,69210.46864943716,70353.87,66054.5986195413,72366.33867933301,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 11:00:00+01:00,68815.25540180758,69867.64,65644.1373078028,71986.37349581235,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 12:00:00+01:00,68471.7970610985,69440.41,65287.818961273275,71655.77516092375,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 13:00:00+01:00,66893.59034942275,67785.1,63698.75861481103,70088.42208403448,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 14:00:00+01:00,65498.946080801754,66319.49,62294.94864049821,68702.94352110529,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 15:00:00+01:00,65338.812815530066,66094.04,62127.07126898421,68550.55436207591,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 16:00:00+01:00,67070.16022364619,67765.27,63851.872968966665,70288.44747832572,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-22 17:00:00+01:00,69125.90218066504,69765.68,65902.080239334,72349.72412199609,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
