ts,yhat,yhat_snaive,lo,hi,model_name,model_version,order,seasonal_order,k_exog,feature_list,target,train_window_days,last_refit,spec_sha256
2026-05-22 20:00:00+02:00,53490.225670037056,49432.65,52217.843544669784,54762.60779540433,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-22 21:00:00+02:00,51853.32553205775,48118.74,50124.040290192745,53582.61077392276,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-22 22:00:00+02:00,49136.30597539977,45699.0,47098.59995008827,51174.01200071128,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-22 23:00:00+02:00,45856.88039270843,42693.19,43590.50432687725,48123.25645853961,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-23 00:00:00+02:00,43153.505090163024,40241.65,40710.10150211926,45596.90867820679,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-23 01:00:00+02:00,41540.67631927391,38860.61,38956.77864814474,44124.57399040308,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-23 02:00:00+02:00,40161.95834097121,37695.23,37464.76307251183,42859.153609430585,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-23 03:00:00+02:00,39906.582439813,37636.21,37117.006895222585,42696.15798440341,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-23 04:00:00+02:00,39576.066812681835,37486.42,36710.56206090663,42441.57156445704,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-23 05:00:00+02:00,39825.69726235869,37902.39,36897.41033937057,42753.98418534682,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-23 06:00:00+02:00,40758.54863190477,38988.34,37778.11137969737,43738.98588411217,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-23 07:00:00+02:00,42377.04692088156,40747.75,39353.134988470425,45400.9588532927,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-23 08:00:00+02:00,44714.76202913357,43215.16,41654.5044337169,47775.01962455024,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-23 09:00:00+02:00,47206.49107817864,45826.26,44115.77825658721,50297.203899770066,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-23 10:00:00+02:00,48642.45226422743,47372.09,45526.17267535502,51758.731853099845,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-05-23 11:00:00+02:00,49198.1992005132,48028.96,46060.42414259019,52335.9742584362,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
