ts,yhat,yhat_snaive,lo,hi,model_name,model_version,order,seasonal_order,k_exog,feature_list,target,train_window_days,last_refit,spec_sha256
2026-06-05 20:00:00+02:00,50526.97537662772,54770.72,49254.59325126045,51799.35750199499,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-06-05 21:00:00+02:00,48517.334889725316,52423.27,46788.04964786031,50246.62013159032,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-06-05 22:00:00+02:00,47168.904173257564,50763.92,45131.19814794606,49206.61019856907,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-06-05 23:00:00+02:00,43573.81373664779,46882.66,41307.43767081661,45840.18980247897,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-06-06 00:00:00+02:00,41193.093701016005,44238.55,38749.69011297224,43636.49728905977,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-06-06 01:00:00+02:00,39924.07736238663,42727.11,37340.179691257465,42507.9750335158,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-06-06 02:00:00+02:00,38898.91367524106,41478.82,36201.718406781685,41596.10894370044,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-06-06 03:00:00+02:00,38445.67874235759,40820.22,35656.103197767174,41235.254286948,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-06-06 04:00:00+02:00,38514.63639003992,40700.16,35649.13163826472,41380.141141815126,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-06-06 05:00:00+02:00,38856.40790153894,40867.96,35928.12097855082,41784.69482452707,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-06-06 06:00:00+02:00,41420.15097567709,43271.58,38439.71372346969,44400.58822788449,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-06-06 07:00:00+02:00,42453.51797235044,44157.57,39429.6060399393,45477.42990476158,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-06-06 08:00:00+02:00,44609.50350167446,46177.91,41549.24590625779,47669.76109709113,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-06-06 09:00:00+02:00,45730.36140902036,47173.92,42639.648587428936,48821.07423061179,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-06-06 10:00:00+02:00,44980.12120403041,46308.77,41863.841615157995,48096.40079290282,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-06-06 11:00:00+02:00,45137.53397787224,46360.42,41999.758919949236,48275.309035795246,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
