ts,yhat,yhat_snaive,lo,hi,model_name,model_version,order,seasonal_order,k_exog,feature_list,target,train_window_days,last_refit,spec_sha256
2026-08-31 21:00:00+02:00,49929.54584591355,50799.81,48657.163720546276,51201.92797128082,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-31 22:00:00+02:00,46816.43039851955,47617.42,45087.145156654544,48545.71564038456,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-31 23:00:00+02:00,43888.650575270556,44625.88,41850.94454995905,45926.35660058206,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-09-01 00:00:00+02:00,41646.21533015366,42324.76,39379.83926432248,43912.59139598484,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-09-01 01:00:00+02:00,40374.2086756489,40998.74,37930.805087605135,42817.61226369267,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-09-01 02:00:00+02:00,39835.1224641345,40409.94,37251.224793005335,42419.02013526367,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-09-01 03:00:00+02:00,40193.58894788738,40722.65,37496.393679428,42890.78421634676,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-09-01 04:00:00+02:00,40318.25313530308,40805.2,37528.677590712665,43107.82867989349,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-09-01 05:00:00+02:00,43647.90495955652,44096.09,40782.40020778132,46513.409711331726,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-09-01 06:00:00+02:00,50180.75127463355,50593.26,47252.46435164542,53109.038197621674,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
