ts,yhat,yhat_snaive,lo,hi,order,seasonal_order,k_exog,train_window_days,last_refit,spec_sha256
2025-12-04 18:00:00+01:00,72580.56174177224,72965.73,71308.17961640496,73852.94386713952,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-04 19:00:00+01:00,70516.54181048984,70871.05,68787.25656862484,72245.82705235484,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-04 20:00:00+01:00,67002.82128397748,67329.11,64965.115258665974,69040.52730928898,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-04 21:00:00+01:00,63301.94443789484,63602.26,61035.56837206366,65568.32050372602,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-04 22:00:00+01:00,59996.770083218464,60273.18,57553.3664951747,62440.17367126223,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-04 23:00:00+01:00,56165.602797257634,56420.01,53581.705126128465,58749.5004683868,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 00:00:00+01:00,53268.044056679224,53502.2,50570.848788219846,55965.2393251386,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 01:00:00+01:00,51622.093280341855,51837.61,48832.51773575144,54411.66882493227,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 02:00:00+01:00,50423.2687891185,50621.63,47557.764037343295,53288.7735408937,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 03:00:00+01:00,50746.568689315674,50929.14,47818.28176632755,53674.8556123038,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 04:00:00+01:00,51625.50168577078,51793.54,48645.064433563384,54605.93893797818,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 05:00:00+01:00,54361.747830225584,54516.41,51337.835897814446,57385.65976263672,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 06:00:00+01:00,62521.82921012775,62664.18,59461.57161471108,65582.08680554442,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 07:00:00+01:00,68356.73058260266,68487.75,65266.01776101123,71447.44340419408,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 08:00:00+01:00,71080.61995795988,71201.21,67964.34036908747,74196.89954683228,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 09:00:00+01:00,71451.48913675155,71562.48,68313.71407882855,74589.26419467456,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 10:00:00+01:00,71689.38420408,71791.54,68533.51417418414,74845.25423397585,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 11:00:00+01:00,72042.35598455751,72136.38,68871.23789055273,75213.47407856229,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 12:00:00+01:00,70956.25046105054,71042.79,67772.2723612253,74140.22856087578,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 13:00:00+01:00,68660.71916009129,68740.37,65465.88742547957,71855.55089470302,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 14:00:00+01:00,67784.06950660961,67857.38,64580.072066306064,70988.06694691315,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 15:00:00+01:00,67339.93515042774,67407.41,64128.19360388189,70551.67669697359,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 16:00:00+01:00,68097.66626676562,68159.77,64879.379012086094,71315.95352144515,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-12-05 17:00:00+01:00,69033.03983282515,69090.2,65809.2178914941,72256.86177415619,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
