ts,yhat,yhat_snaive,lo,hi,order,seasonal_order,k_exog,train_window_days,last_refit,spec_sha256
2025-11-23 18:00:00+01:00,63041.26269390157,56046.19,61768.880568534296,64313.64481926884,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-23 19:00:00+01:00,60600.13264214937,54161.88,58870.847400284365,62329.41788401438,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-23 20:00:00+01:00,58568.36644285745,52642.61,56530.66041754594,60606.07246816895,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-23 21:00:00+01:00,56371.25583965151,50917.2,54104.87977382033,58637.63190548269,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-23 22:00:00+01:00,54487.2734315512,49467.37,52043.86984350743,56930.677019594965,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-23 23:00:00+01:00,51711.43031638826,47091.12,49127.53264525909,54295.32798751743,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 00:00:00+01:00,48733.71551384784,44481.19,46036.52024538846,51430.91078230722,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 01:00:00+01:00,46600.467026471764,42686.45,43810.89148188135,49390.04257106218,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 02:00:00+01:00,46135.484408239216,42533.03,43269.97965646401,49000.98916001442,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 03:00:00+01:00,47007.33272071888,43691.64,44079.04579773075,49935.619643707,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 04:00:00+01:00,48623.13776633954,45571.38,45642.70051413214,51603.57501854694,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 05:00:00+01:00,51915.73249711828,49106.9,48891.820564707145,54939.64442952942,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 06:00:00+01:00,61253.81450527765,58668.57,58193.556909860985,64314.07210069432,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 07:00:00+01:00,67507.60450963175,65128.15,64416.89168804033,70598.31733122318,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 08:00:00+01:00,70659.47575847607,68469.43,67543.19616960366,73775.75534734847,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 09:00:00+01:00,71298.98427602593,69283.27,68161.20921810293,74436.75933394894,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 10:00:00+01:00,71942.95988525556,70087.7,68787.0898553597,75098.82991515142,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 11:00:00+01:00,73011.82794533485,71304.25,69840.70985133007,76182.94603933963,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 12:00:00+01:00,73108.95174678067,71537.3,69924.97364695543,76292.92984660591,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 13:00:00+01:00,72320.94551196744,70874.4,69126.11377735571,75515.77724657916,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 14:00:00+01:00,70800.99795280944,69469.6,67597.0005125059,74004.99539311299,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 15:00:00+01:00,69715.73634126273,68490.32,66503.99479471688,72927.47788780858,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 16:00:00+01:00,69744.48105182566,68616.61,66526.19379714613,72962.76830650518,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-24 17:00:00+01:00,71816.3005384659,70778.21,68592.47859713486,75040.12247979695,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
