ts,yhat,yhat_snaive,lo,hi,model_name,model_version,order,seasonal_order,k_exog,feature_list,target,train_window_days,last_refit,spec_sha256
2026-08-14 19:00:00+02:00,54342.28111824819,53669.47,53069.89899288092,55614.66324361546,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-14 20:00:00+02:00,49208.3041735135,48589.05,47479.01893164849,50937.589415378505,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-14 21:00:00+02:00,47085.53045548764,46515.57,45047.82443017614,49123.23648079915,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-14 22:00:00+02:00,44182.470603849346,43657.88,41916.094538018166,46448.846669680526,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-14 23:00:00+02:00,42012.07227195399,41529.24,39568.668683910226,44455.47585999776,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 00:00:00+02:00,40680.78797649751,40236.39,38096.89030536834,43264.68564762668,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 01:00:00+02:00,39687.70311835091,39278.68,36990.50784989153,42384.89838681029,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 02:00:00+02:00,38457.37416093985,38080.91,35667.798616349435,41246.94970553026,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 03:00:00+02:00,37979.28695362832,37632.79,35113.782201853115,40844.79170540352,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 04:00:00+02:00,38148.59518856396,37829.68,35220.30826557583,41076.882111552084,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 05:00:00+02:00,39008.79898036121,38715.27,36028.36172815381,41989.236232568604,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 06:00:00+02:00,40209.16355884415,39939.0,37185.25162643301,43233.07549125529,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 07:00:00+02:00,42383.2980658493,42134.64,39323.040470432636,45443.55566126597,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 08:00:00+02:00,44920.34444780506,44691.48,41829.63162621363,48011.057269396486,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 09:00:00+02:00,45479.156436463716,45268.51,42362.8768475913,48595.43602533613,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 10:00:00+02:00,45446.968610769,45253.09,42309.193552845994,48584.743668692005,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 11:00:00+02:00,46529.84553340068,46351.4,43373.975503504815,49685.715563296544,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 12:00:00+02:00,45719.29095605158,45555.05,42548.172862046806,48890.40905005636,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 13:00:00+02:00,44817.03708796609,44665.87,41633.05898814086,48001.01518779132,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 14:00:00+02:00,43836.403922704216,43697.27,40641.5721880925,47031.235657315934,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 15:00:00+02:00,43165.648618496416,43037.59,39961.65117819287,46369.64605879996,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 16:00:00+02:00,43516.32492792325,43398.46,40304.58338137739,46728.0664744691,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 17:00:00+02:00,44168.46267299355,44059.98,40950.17541831402,47386.749927673074,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 18:00:00+02:00,45515.147262007304,45415.3,42291.32532067627,48738.96920333834,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
