ts,yhat,yhat_snaive,lo,hi,model_name,model_version,order,seasonal_order,k_exog,feature_list,target,train_window_days,last_refit,spec_sha256
2026-08-15 19:00:00+02:00,49901.43450375117,46703.52,48629.052378383894,51173.81662911844,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 20:00:00+02:00,48282.01490195744,45338.66,46552.72966009243,50011.300143822446,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 21:00:00+02:00,46005.578690817,43296.52,43967.87266550549,48043.2847161285,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 22:00:00+02:00,43696.69286890359,41203.28,41430.31680307241,45963.06893473477,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-15 23:00:00+02:00,41647.92283253272,39352.99,39204.519244488954,44091.326420576486,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 00:00:00+02:00,39564.242155076325,37451.99,36980.344483947156,42148.13982620549,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 01:00:00+02:00,38506.45317986186,36562.34,35809.257911402485,41203.64844832124,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 02:00:00+02:00,37523.26836189313,35733.91,34733.69281730272,40312.84390648355,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 03:00:00+02:00,36853.462298785285,35206.54,33987.95754701008,39718.96705056049,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 04:00:00+02:00,36832.12439605142,35316.3,33903.83747306329,39760.411319039544,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 05:00:00+02:00,36704.25211624516,35309.09,33723.81486403776,39684.68936845256,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 06:00:00+02:00,37191.234765483445,35907.13,34167.32283307231,40215.14669789458,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 07:00:00+02:00,39007.22777457281,37825.34,35946.970179156146,42067.48536998948,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 08:00:00+02:00,40956.34743536825,39868.54,37865.63461377682,44047.060256959674,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 09:00:00+02:00,42662.62605612694,41661.41,39546.34646725452,45778.90564499935,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 10:00:00+02:00,43356.0075025045,42434.49,40218.232444581496,46493.782560427506,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 11:00:00+02:00,44650.253093495645,43802.09,41494.38306359978,47806.12312339151,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 12:00:00+02:00,44099.43782406517,43318.79,40928.31973006039,47270.55591806995,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 13:00:00+02:00,43320.56688846415,42602.06,40136.58878863892,46504.54498828938,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 14:00:00+02:00,41342.812480296285,40681.5,38147.98074568456,44537.64421490801,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 15:00:00+02:00,40952.22084730454,40343.55,37748.223407000994,44156.218287608084,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 16:00:00+02:00,41957.47958060196,41397.26,38745.73803405611,45169.221127147815,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 17:00:00+02:00,43346.72511968444,42831.1,40128.43786500491,46565.01237436396,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
2026-08-16 18:00:00+02:00,46218.70045604889,45744.12,42994.87851471786,49442.52239737993,sarima_exog,sarima_exog_v1,"[1, 0, 0]","[0, 1, 0, 168]",2,[],load_mw,90,2025-09-26 15:23:52,79f92e6e9b4d
