ts,yhat,yhat_snaive,lo,hi,order,seasonal_order,k_exog,train_window_days,last_refit,spec_sha256
2025-11-18 16:00:00+01:00,67110.52652732132,64943.32,65838.14440195404,68382.9086526886,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-18 17:00:00+01:00,69416.75308771792,67422.06,67687.46784585292,71146.03832958292,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-18 18:00:00+01:00,69399.5020203959,67563.59,67361.7959950844,71437.2080457074,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-18 19:00:00+01:00,67764.360204443,66074.59,65497.98413861182,70030.73627027418,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-18 20:00:00+01:00,64301.07153328829,62745.81,61857.667945244524,66744.47512133206,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-18 21:00:00+01:00,60067.46998820803,58636.01,57483.57231707886,62651.3676593372,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-18 22:00:00+01:00,56189.23326319257,54871.72,53492.03799473319,58886.428531651945,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-18 23:00:00+01:00,52429.12689728508,51216.49,49639.55135269467,55218.702441875495,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 00:00:00+01:00,49946.47887399641,48830.37,47080.97412222121,52811.983625771616,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 01:00:00+01:00,48434.844650615916,47407.58,45506.55772762779,51363.13157360404,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 02:00:00+01:00,47343.60258319797,46398.11,44363.165330990574,50324.03983540537,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 03:00:00+01:00,47962.53971572747,47092.31,44938.62778331633,50986.45164813861,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 04:00:00+01:00,49622.16790447523,48821.21,46561.91030905856,52682.4254998919,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 05:00:00+01:00,53575.06025086142,52837.86,50484.34742926999,56665.773072452845,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 06:00:00+01:00,61142.08781826936,60463.57,58025.80822939695,64258.36740714178,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 07:00:00+01:00,66683.46661020674,66058.96,63545.69155228374,69821.24166812975,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 08:00:00+01:00,69246.72478901035,68671.93,66090.85475911449,72402.5948189062,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 09:00:00+01:00,69769.56011594704,69240.52,66598.44202194226,72940.67820995182,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 10:00:00+01:00,69767.35759508683,69280.43,66583.37949526159,72951.33569491206,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 11:00:00+01:00,69588.47730472812,69140.31,66393.6455701164,72783.30903933985,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 12:00:00+01:00,68564.10240144515,68151.61,65360.10496114161,71768.0998417487,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 13:00:00+01:00,66612.29728301667,66232.64,63400.555736470815,69824.03882956252,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 14:00:00+01:00,64398.17589758893,64048.74,61179.888642909405,67616.46315226845,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
2025-11-19 15:00:00+01:00,63292.3301874321,62970.71,60068.50824610106,66516.15212876313,"[1, 0, 0]","[0, 1, 0, 168]",2,90,2025-09-26 15:23:52,79f92e6e9b4d
