timestamp,yhat,lo,hi
2020-10-01 02:00:00,45049.94978605295,43905.60094762011,46194.2986244858
2020-10-01 03:00:00,44708.533256699935,43135.415726858984,46281.650786540886
2020-10-01 04:00:00,45713.54426643549,43839.668721347945,47587.41981152304
2020-10-01 05:00:00,49620.78836476189,47515.12266347279,51726.45406605099
2020-10-01 06:00:00,57291.08213271018,54998.800650520876,59583.363614899485
2020-10-01 07:00:00,62598.252557001564,60151.867537259604,65044.637576743524
2020-10-01 08:00:00,65149.1364397138,62573.376560247634,67724.89631917997
2020-10-01 09:00:00,65320.5798414382,62634.942550087115,68006.21713278929
2020-10-01 10:00:00,67583.43755602745,64803.6852829227,70363.1898291322
2020-10-01 11:00:00,68932.57261514185,66071.68282352682,71793.46240675688
2020-10-01 12:00:00,67417.85582090354,64486.66110405847,70349.05053774861
2020-10-01 13:00:00,66857.16530506423,63864.80480004446,69849.525810084
2020-10-01 14:00:00,66380.38611318197,63334.63556171019,69426.13666465375
2020-10-01 15:00:00,65050.40981238839,61957.930034454526,68142.88959032226
2020-10-01 16:00:00,62764.13412140807,59630.66259619005,65897.60564662608
2020-10-01 17:00:00,62063.4625615675,58893.964103616716,65232.96101951829
2020-10-01 18:00:00,61278.30412760302,58077.09138012203,64479.51687508401
2020-10-01 19:00:00,61676.572977144286,58447.404132786614,64905.74182150196
2020-10-01 20:00:00,59795.18813781406,56541.347144456704,63049.02913117142
2020-10-01 21:00:00,55439.073230944676,52163.43629881537,58714.71016307398
2020-10-01 22:00:00,51401.15621096851,48106.24744801171,54696.06497392531
2020-10-01 23:00:00,48040.369119593466,44728.407426979815,51352.33081220712
2020-10-02 00:00:00,46220.64785392437,42893.58671551806,49547.70899233068
2020-10-02 01:00:00,43981.93194773934,40641.49338380579,47322.37051167288
