scored_at,forecast_file,forecast_issue,points_compared,MAE,sMAPE,MAE_base,Gain,k_exog,train_window_days,last_refit,spec_sha256,order,order_p,order_d,order_q,seasonal_order,seasonal_P,seasonal_D,seasonal_Q,seasonal_m
2025-11-04 19:28,2025-11-03_1927.csv,2025-11-03 1927,24,1336.881,2.082,1602.417,16.6,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-11-05 19:28,2025-11-04_1928.csv,2025-11-04 1928,24,1627.398,2.833,1220.062,-33.4,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-11-06 19:29,2025-11-05_1928.csv,2025-11-05 1928,24,1079.567,1.964,1639.656,34.2,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-11-07 19:27,2025-11-06_1929.csv,2025-11-06 1929,24,4234.18,7.09,4892.656,13.5,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-11-08 19:24,2025-11-07_1927.csv,2025-11-07 1927,24,1684.291,3.163,4746.615,64.5,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-11-09 19:24,2025-11-08_1924.csv,2025-11-08 1924,24,4063.269,9.791,4381.625,7.3,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-11-10 19:28,2025-11-09_1924.csv,2025-11-09 1924,24,1067.531,1.763,1977.597,46.0,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-11-11 19:27,2025-11-10_1928.csv,2025-11-10 1928,24,1225.783,2.023,1080.938,-13.4,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-11-12 19:27,2025-11-11_1927.csv,2025-11-11 1927,24,821.412,1.296,826.848,0.7,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-11-13 19:28,2025-11-12_1927.csv,2025-11-12 1927,24,735.769,1.162,1155.38,36.3,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
